sa2_code,sa2_name,businesses_per_1000,stops_per_1000,schools_per_1000_young,pois_per_1000,z_businesses_per_1000,z_stops_per_1000,z_schools_per_1000_young,z_pois_per_1000,final_score
125041717,Parramatta - North,303.7777595673195,60,0.0,164,3.57228461932249,-1.0944209595750432,0,0.7944742990100538,0.9634675520233773
125021477,Ermington - Rydalmere,107.74315772501915,294,0.0,167,-0.031927317171325395,2.003129077557309,0,0.8466212607211384,0.9436313820849148
125031481,Granville - Clyde,123.41569581359622,239,0.0,183,0.256221552074954,1.2750724448979955,0,1.124738389846923,0.9343818214085069
125041489,North Parramatta,119.98266146510619,198,0.0,209,0.1931031879650569,0.73233931873378,0,1.576678724676323,0.9242903924550041
125031484,Guildford West - Merrylands West,94.96626881162429,262,0.0,179,-0.26683796610848887,1.5795324912827993,0,1.0552091075654768,0.9143468225243392
125031479,Chester Hill - Sefton,106.47550776583034,256,0.0,151,-0.055233810368274384,1.5001081313563287,0,0.5685041315953538,0.8821945892504472
125011586,Lidcombe,139.12065247961002,181,0.0,172,0.5449664560144127,0.5073036322754467,0,0.9335328635729462,0.8792984020304261
125031714,Merrylands - Holroyd,118.46544757778982,199,0.0,179,0.16520831455245974,0.7455767120548584,0,1.0552091075654768,0.8771801924805078
125031483,Guildford - South Granville,118.77105869835077,242,0.0,143,0.17082715550349312,1.3147846248612307,0,0.4294455670324615,0.8715862491925976
125041491,Northmead,95.57851442001665,103,0.0,246,-0.2555814689947355,-0.5252130467686708,0,2.2198245857797,0.8083044072866121
125031480,Fairfield - East,102.38065088008103,230,0.0,132,-0.13052017271018473,1.1559359050082896,0,0.23824004075848457,0.7796547867651269
125041493,Toongabbie - Constitution Hill,82.76821422361328,194,0.0,180,-0.49110640410332546,0.6793897454494663,0,1.0725914281358384,0.7791766577183389
125021712,Carlingford - West,101.00015546457998,211,0.0,118,-0.15590139627002605,0.9044254319077996,0,-0.005112447226576966,0.6777414257667471
125011709,Silverwater - Newington,221.40102827763496,80,0.0,64,2.0577397613567125,-0.8296730931534746,0,-0.9437577580261001,0.5706022925712192
125021478,Oatlands - Dundas Valley,97.6450934957159,152,0.0,139,-0.21758619212858588,0.12341922596417226,0,0.35991628475101534,0.5660490727561112
125031713,Greystanes - South,83.55358000961076,248,0.0,78,-0.47666699027635717,1.3942089847877013,0,-0.7004052700410385,0.5540718977794115
125041589,Wentworthville - Westmead,85.68539119242438,174,0.0,127,-0.43747238259363375,0.4146418790278977,0,0.15132843790667688,0.5320803539119675
125011582,Auburn - Central,132.5331841529777,141,0.0,99,0.4238519601499385,-0.02219210056769044,0,-0.3353765380634462,0.5165647660781489
125011710,Wentworth Point - Sydney Olympic Park,117.12584128213818,71,0.0,165,0.14057886161091251,-0.9488096330431804,0,0.8118566195804153,0.5009064610439505
125031715,Pemulwuy - Greystanes (North),86.91665902631337,93,0.0,167,-0.41483479625827074,-0.657586979979455,0,0.8466212607211384,0.4437885011097512
125041719,Rosehill - Harris Park,141.33771929824562,59,0.0,131,0.5857285389152619,-1.1076583528961215,0,0.22085772018812302,0.4252954218898399
125041494,Winston Hills,76.34610233056523,153,0.0,126,-0.6091807242738174,0.1366566192852507,0,0.13394611733631534,0.416154942166079
125041588,Pendle Hill - Girraween,115.01894345557223,129,0.0,100,0.10184230069708651,-0.18104082042063158,0,-0.31799421749308465,0.4019870014040123
125041490,North Rocks,118.00141743444365,139,0.0,87,0.15667684630234646,-0.04866688720984729,0,-0.5439643849077846,0.3927053696615122
125021711,Carlingford - East,95.74468085106383,121,0.0,99,-0.25252640101899804,-0.286939966989259,0,-0.3353765380634462,0.2942475941679638
125011583,Auburn - North,155.3044452745611,80,0.0,58,0.8425150449937633,-0.8296730931534746,0,-1.0480516814482692,0.262075336786616
125011584,Auburn - South,135.79692238571266,83,0.0,52,0.48385771518229487,-0.7899609131902393,0,-1.1523456048704386,0.18870469142817908
125031716,South Wentworthville,101.30897191164439,120,0.0,45,-0.15022362349810206,-0.3001773603103374,0,-1.2740218488629693,0.1513023516218752
125011587,Regents Park,139.86826811313443,66,0.0,43,0.5587118109922331,-1.0149965996485726,0,-1.3087864900036923,0.14615633497683453
125011585,Berala,99.45645888747542,96,0.0,50,-0.18428316957554014,-0.6178748000162197,0,-1.1871102460111616,0.12033430322400332
125041718,Parramatta - South,104.81927710843374,59,0.0,34,-0.08568458920464493,-1.1076583528961215,0,-1.4652273751369462,0.06546274334225038
125031486,Smithfield Industrial,0.0,69,0.0,72,-2.0128489070263678,-0.9752844196853373,0,-0.8046991934632077,0.022035199626547364
125011475,Rookwood Cemetery,0.0,36,0.0,23,-2.0128489070263678,-1.4121183992809254,0,-1.6564329014109231,0.006172865009954268
125031487,Yennora Industrial,0.0,13,0.0,40,-2.0128489070263678,-1.7165784456657291,0,-1.360933451714777,0.006118136432481717
