sa2_code,sa2_name,businesses_per_1000,stops_per_1000,schools_per_1000_young,pois_per_1000,z_businesses_per_1000,z_stops_per_1000,z_schools_per_1000_young,z_pois_per_1000,final_score
122021421,Bayview - Elanora Heights,132.71742027183086,185,0.0,673,0.2720666150556902,0.4317839453194471,0,3.6575890862615585,0.9874007618137248
122031429,Freshwater - Brookvale,196.73769821436684,273,0.0,173,2.313978138446548,1.7467980738697486,0,0.0038460453062686283,0.983120341171479
122021420,Avalon - Palm Beach,142.37651016975073,264,0.0,183,0.5801409877682547,1.6123079925407406,0,0.07692090612537443,0.9063082962676016
122011418,Balgowlah - Clontarf - Seaforth,121.0377403730878,282,0.0,204,-0.10045399468247049,1.8812881551987568,0,0.2303781138454966,0.8819692777576915
122021690,Mona Vale - Warriewood (North),181.58200587953786,163,0.0,158,1.8305909396088427,0.10303041318187167,0,-0.10576624592239008,0.8615060107044791
122011419,Manly - Fairlight,144.88736360436465,190,0.0,195,0.6602240602954558,0.506500657168896,0,0.1646107391083014,0.7910614491642571
122031696,Frenchs Forest - Oxford Falls,109.43132922432841,225,0.0,255,-0.47063771508331237,1.0295176401150388,0,0.6030599040229362,0.7616850131879527
122031432,Terrey Hills - Duffys Forest,164.29699842022117,112,0.0,183,1.2792897418109253,-0.6590800476825077,0,0.07692090612537443,0.6675512825739429
122021422,Newport - Bilgola,138.33126505584352,113,0.0,276,0.45111885792930223,-0.6441367053126179,0,0.7565171117430584,0.637261815292222
122031430,Manly Vale - Allambie Heights,92.01861943687557,201,0.0,151,-1.026011948234483,0.6708774232376837,0,-0.15691864849576415,0.3747123372090048
122031692,Belrose,125.74988463313336,129,0.0,90,0.049838724650981076,-0.4050432273943812,0,-0.6026752994923096,0.2773028945410102
122031425,Cromer,124.31693989071039,110,0.0,97,0.0041352932387944425,-0.6889667324222872,0,-0.5515228969189355,0.2250712037450032
122021691,North Narrabeen - Warriewood (South),109.58149779735683,129,0.0,106,-0.4658481241978568,-0.4050432273943812,0,-0.48575552218174023,0.2047858136349535
122031427,Forestville - Killarney Heights,95.82795045216203,106,0.0,156,-0.9045142424059428,-0.7487401019018464,0,-0.12038121808621124,0.14509079364191774
122031693,Collaroy - Collaroy Plateau,103.2756401087112,97,0.0,81,-0.6669719539142123,-0.8832301832308546,0,-0.6684426742295048,0.0980886288254471
122031424,Beacon Hill - Narraweena,82.892295003093,145,0.0,66,-1.3170938933061822,-0.16594974947614458,0,-0.7780549654581634,0.09439641176578407
122031697,Narrabeen - Wheeler Heights,94.84444444444443,81,0.0,115,-0.9358829323745378,-1.1223236611490912,0,-0.41998814744454505,0.07740101755636783
122031694,Dee Why (South) - North Curl Curl,103.19195452557936,75,0.0,58,-0.6696410856648111,-1.2119837153684299,0,-0.8365148541134481,0.06191142409917291
122031695,Dee Why - North,96.46086859439544,86,0.0,57,-0.8843274689409862,-1.0476069492996423,0,-0.8438223401953587,0.058648381348823005
