industry_code,industry_name,sa2_code,sa2_name,0_to_50k_businesses,50k_to_200k_businesses,200k_to_2m_businesses,2m_to_5m_businesses,5m_to_10m_businesses,10m_or_more_businesses,total_businesses
industry_code,Mining,119031666,Mortdale - Oatley,0,0,0,0,0,0,0
industry_code,Mining,119031667,Penshurst,0,0,0,0,0,0,0
industry_code,Mining,119041377,Kingsgrove (South) - Bardwell Park,0,0,0,0,0,0,0
industry_code,Mining,119041378,Kogarah,0,0,0,0,0,0,0
industry_code,Mining,119041379,Kogarah Bay - Carlton - Allawah,0,0,0,0,0,0,0
industry_code,Mining,119041380,Monterey - Brighton-le-Sands - Kyeemagh,3,0,0,0,0,0,3
industry_code,Mining,119041381,Rockdale - Banksia,3,0,0,0,0,0,3
industry_code,Mining,119041382,Sans Souci - Ramsgate,3,0,0,0,0,0,0
industry_code,Mining,119041668,Arncliffe - Bardwell Valley,0,0,0,0,0,0,0
industry_code,Mining,119041669,Bexley - North,0,0,3,0,0,0,0
industry_code,Mining,119041670,Bexley - South,0,0,0,0,0,0,0
industry_code,Mining,119041671,Wolli Creek,0,0,0,0,0,0,0
industry_code,Manufacturing,119011354,Bass Hill - Georges Hall,25,35,12,3,0,0,74
industry_code,Manufacturing,119011355,Chullora,5,13,22,5,3,3,51
industry_code,Manufacturing,119011356,Condell Park,40,50,129,48,20,41,328
industry_code,Manufacturing,119011358,Padstow,11,31,30,11,3,5,91
industry_code,Manufacturing,119011360,Revesby,12,14,12,3,3,0,41
industry_code,Manufacturing,119011361,Yagoona - Birrong,13,27,19,0,0,0,60
industry_code,Manufacturing,119011571,Bankstown - North,13,20,18,3,0,0,53
industry_code,Manufacturing,119011572,Bankstown - South,37,35,69,16,7,10,174
industry_code,Manufacturing,119011655,Greenacre - North,15,24,31,6,3,3,80
industry_code,Manufacturing,119011656,Greenacre - South,15,11,11,0,0,0,38
industry_code,Manufacturing,119011657,Panania (North) - Milperra,3,10,7,0,0,0,22
industry_code,Manufacturing,119011658,Panania (South) - Picnic Point,10,11,10,0,0,0,31
industry_code,Manufacturing,119021362,Belmore - Belfield,16,28,26,0,0,0,72
industry_code,Manufacturing,119021366,Punchbowl,28,33,50,11,5,5,132
industry_code,Manufacturing,119021367,Roselands,6,11,10,0,3,0,28
industry_code,Manufacturing,119021573,Lakemba,13,14,13,3,0,0,42
industry_code,Manufacturing,119021574,Wiley Park,5,4,4,0,0,0,14
industry_code,Manufacturing,119021659,Campsie - North,9,12,7,3,0,0,29
industry_code,Manufacturing,119021660,Campsie - South,5,4,6,0,0,0,15
industry_code,Manufacturing,119021661,Canterbury - South,12,13,17,4,0,0,46
industry_code,Manufacturing,119021662,Earlwood,13,22,21,0,0,0,57
industry_code,Manufacturing,119021663,Kingsgrove - North,9,10,26,6,5,4,60
industry_code,Manufacturing,119031370,Narwee - Beverly Hills,10,11,12,3,0,0,35
industry_code,Manufacturing,119031371,Oatley - Hurstville Grove,7,8,8,0,0,0,25
industry_code,Manufacturing,119031372,Peakhurst - Lugarno,19,41,77,23,7,5,172
industry_code,Manufacturing,119031373,Riverwood,11,12,3,0,0,0,26
