SA2_NAME,z_business,z_POI,z_income,z_young,score
Rookwood Cemetery,-1.9741552822030042,-1.3976845780971927,3.1718541451917823,-1.8089309285449429,0.44414253395343195
Auburn - Central,1.0120023069284731,0.8118936247971744,-1.5393286582299466,0.3891897888891483,0.5154970121254296
Auburn - North,-0.0723052042578893,-0.6304699243144263,-1.459973252029982,-0.829615522165563,0.30841983924300753
Auburn - South,-0.5943366041291602,-1.0754544235084307,-1.249208692591254,-0.5326683792135599,0.28438773262553707
Berala,-0.9956338696689699,-0.9680443719788434,-1.0397189187942923,-0.889106644983002,0.27303524831968007
Lidcombe,1.428247608147416,0.10605614331702938,-1.0113549382649878,0.12783562540057025,0.5099054558789589
Regents Park,-1.1543130176474619,-0.7992571481466348,-0.9718365833702263,-1.1794436631775118,0.2693191908356147
Silverwater - Newington,0.3922337506936382,-0.523059872784839,0.6005052736119376,-0.6806334795543696,0.49138927002349114
Wentworth Point - Sydney Olympic Park,0.7969805629286324,0.18277760869530602,0.6453352353473929,-0.19046730522948782,0.591395307157377
Ermington - Rydalmere,1.0890421831209294,0.7505164524945531,0.3328002888409726,1.2998615920176373,0.6905679335104887
Oatlands - Dundas Valley,0.09902228160294632,0.3822534186788253,-0.006611388279357996,0.5488497253393692,0.5602722425129436
Carlingford - East,-0.7012725516798832,-0.4463384074065624,-0.30522992486316064,-0.26419561983229684,0.3968603912637778
Carlingford - West,0.2565515806830435,-0.2928954766500091,-0.27240419458767323,0.7720685536885632,0.50903254859938
Chester Hill - Sefton,0.5773594233352123,-0.26220689049869844,-0.9563266913954005,1.3079971301807058,0.5028777772562992
Fairfield - East,-0.12519825358405332,0.07536755716571873,-0.94315390643048,0.3129191186103804,0.4445313151637164
Granville - Clyde,1.3408590918694059,1.3182552962938001,-1.004237385098458,0.965287585061442,0.6353955633725009
Guildford - South Granville,1.0959412765112986,0.5970735217379999,-1.2744919411529563,1.8001971890463546,0.5929085135802309
Guildford West - Merrylands West,0.5405642585865764,1.026713727856349,-0.48582455744674813,1.5825715431842702,0.6426521478278574
Smithfield Industrial,-1.030129336620816,-1.459061750399814,0.8740530259076658,-1.8089309285449429,0.32227974226966905
Yennora Industrial,-1.6993413954866303,-1.5818160950050566,0.2759660956455495,-1.8089309285449429,0.25097679783348875
Greystanes - South,-0.3850641046212939,0.09071185024137406,0.29073236266267816,0.5274939376613141,0.5356691137804936
Merrylands - Holroyd,1.2856663447464522,1.9013384331687027,-0.6316812812921985,1.3420646962385554,0.7122718119159167
Pemulwuy - Greystanes (North),-0.8944471666102214,-0.15479683896911117,1.1895624722448745,-0.21995863107061142,0.5218731633774164
South Wentworthville,-1.1301661907811698,-1.2135530611893286,-0.0435801718905865,-0.7828361777279186,0.31870262136146216
North Parramatta,1.198277828468442,2.9754389484645754,0.742962569079344,0.6627472596223293,0.8157366330445033
North Rocks,-0.8358048727920829,-0.6765028035413923,0.7309583376193761,-0.6831758352303285,0.42862594153687034
Northmead,0.2600011273782281,1.2261895378398682,1.0117298752184478,0.6256288667533288,0.7002527711989517
Toongabbie - Constitution Hill,0.20480838025527437,0.4589748840571019,0.492254726198599,1.0334227171771413,0.6301860618040646
Winston Hills,-1.0013831141609442,0.3669091256031699,1.044661837630749,-0.2062299104204332,0.5453620961019242
Pendle Hill - Girraween,-0.13439704477121228,-0.20082971819607714,0.5089331716783774,0.12376785631903597,0.5225609695589203
Wentworthville - Westmead,0.15881442431947956,0.1214004363926847,0.6621199129639852,0.9703722964133599,0.6132261056522929
Parramatta - North,2.277985944061225,0.7812050386458638,1.0568785333643447,-0.7350398910198908,0.7026636382993577
Parramatta - South,-0.7840616723643138,-0.8759786135249115,-0.15692986187099112,-0.8418188294101658,0.34636665640482506
Rosehill - Harris Park,-0.5023486922575707,-0.615125631238771,-0.27941551561738903,-0.9302928069335366,0.36473048834799504
