SA2_NAME,z_business,z_POI,z_income,z_young,score
Balgowlah - Clontarf - Seaforth,0.8582275999440838,-0.38593672617810454,1.772855108978822,2.084997472370422,0.7319856780958286
Manly - Fairlight,1.7032116607785184,-0.03502726062672563,2.5612281781962416,0.582621351189475,0.7711871883561
Avalon - Palm Beach,0.13081609373810757,0.07387567695818507,-1.1481207971750238,-0.25388389536346656,0.41413749508153225
Bayview - Elanora Heights,-0.2735455894700484,1.8647239839100498,-0.7008656132318528,-0.5975335839378723,0.5436242173981658
Newport - Bilgola,0.16707678815623025,3.050555970945744,-0.3028947470785629,-0.1665825887972203,0.6951689470729538
Mona Vale - Warriewood (North),1.0032703776165746,0.18277861454309577,-0.6876644566809917,0.028654878614566823,0.5137263747811343
North Narrabeen - Warriewood (South),-0.6031882659984364,0.1101766561531553,-0.029190767924044642,-0.2578521365710232,0.4630891916808308
Beacon Hill - Narraweena,-0.5900025589373009,-0.7610468445261303,-0.9293336292720873,0.32389202445678145,0.3634696617500422
Cromer,-0.815258387898366,-0.7852474973227771,-0.783944891791938,-0.9665800162406406,0.3042532325994816
Forestville - Killarney Heights,-0.5295680682404298,-0.38593672617810454,-0.03411919970303275,0.3159555420416682,0.4579149889133919
Freshwater - Brookvale,2.84267651264498,0.4731864481028576,1.440537994738481,1.3667458138026687,0.8047108592057433
Manly Vale - Allambie Heights,-0.13399685640636413,0.40058448971291716,0.5986562376349049,1.1810321252890175,0.6246140569627872
Terrey Hills - Duffys Forest,-1.2295093514023736,-0.2407328093982236,-0.34795469477216845,-1.9999100266883918,0.3052353308846794
Belrose,-0.717464393861611,-0.010826607830078805,-0.9138442722524104,-0.957849885584016,0.35149730397367207
Collaroy - Collaroy Plateau,-0.32848603555811307,-0.5916422749496025,0.17921149015888116,0.017543803233408206,0.45365399995703126
Dee Why (South) - North Curl Curl,-0.8778904964387598,-1.2450599004590668,0.3295286594180185,-0.8848342473649736,0.3481447194619611
Dee Why - North,-0.016424301777905742,-0.990953046094275,-0.5626935079995076,-0.1673762370387316,0.3768701856096185
Frenchs Forest - Oxford Falls,0.15279227217333344,-0.15603052460995973,0.27848418742135594,1.316745974587455,0.5819160024453109
Narrabeen - Wheeler Heights,-0.7427369990621207,-0.5674416221529557,-0.7198752786650926,-0.9657863679991293,0.32565578331595474
