SA2_NAME,z_business,z_POI,z_income,z_young,score
Bass Hill - Georges Hall,0.9127596566824594,0.7081280216565404,-0.6821558466214707,2.6698107176378545,0.6735544619869912
Chullora,-1.4562916087967588,-1.0423891663496319,0.8104514015689289,-2.1184522792364016,0.3133443665036779
Condell Park,1.9088752648507614,-0.2131968141361818,-0.7059969558001096,0.33110052347799124,0.5429531233111066
Padstow,0.149289470158728,-0.3398789790576811,0.6612522021929306,0.3042504505983225,0.5466439682854598
Revesby,-0.38972703491918537,0.2359490433127703,0.6197225281398177,0.6712014466204618,0.5776164681007963
Yagoona - Birrong,0.4949809065460828,0.05168407615422585,-0.7733673159307151,2.015770480825411,0.5709296989636978
Bankstown - North,1.0454658479022496,0.05168407615422585,-0.9794775501202385,0.7152631046794053,0.5184435651029811
Bankstown - South,1.749955504994963,-0.08651464921468249,-1.2241949998183965,0.7923710062825565,0.5287812502099892
Greenacre - North,0.4015950682803045,-0.25926305592581794,-0.9957817925262754,0.6966745926857885,0.46086532861596413
Greenacre - South,0.05918032797245069,-0.43201146263695334,-1.0642288479101096,0.6326474958188861,0.42299110584730726
Panania (North) - Milperra,-1.4104178636837448,0.4547636918135418,1.3092689310290964,-0.31261276222688716,0.5460202976488369
Panania (South) - Picnic Point,-0.6240108046035064,0.10926687839127099,1.4810787307229007,0.5293779847432373,0.6125816490551881
Belmore - Belfield,0.673560842878887,-0.5241439462162256,-0.17549382317349294,0.7909940794682145,0.5207430009301589
Punchbowl,2.105477029620821,-0.5702101880058617,-1.2860280700752535,1.8044122148239161,0.5560401495078702
Roselands,-0.2881494564546546,-0.8581241991910874,-0.019065384240100895,0.24641952439595913,0.4325381820092034
Lakemba,1.538608607867149,-0.24774649547840888,-1.6882506539600326,1.0849679543302286,0.4859827158688073
Wiley Park,-0.6485860251997638,-1.0769388476918589,-1.6671781897182678,-0.4048668587878002,0.2623237358236961
Campsie - North,-0.5453700986954826,-1.0539057267970409,-1.4784488931880102,-1.0561532419715596,0.25350392477676353
Campsie - South,-0.8714013586058313,-0.5817267484532707,-1.5225933985703932,-1.4024503357785691,0.25235972759410363
Canterbury - South,-0.7075665546307818,-0.9963229245599957,0.5234352097796373,-0.7015945872784982,0.3956320609357066
Earlwood,0.4982576026255838,-0.293812737268045,1.7317949111176194,0.4144045957456814,0.6488361035172805
Kingsgrove - North,-1.0532579910181366,0.7081280216565404,0.6558687259267864,-1.2991808247029202,0.4846826097207821
Narwee - Beverly Hills,-0.6813529859947738,-0.4550445835317714,-0.1850302668449485,-0.3793937127224735,0.40031043528614363
Oatley - Hurstville Grove,-0.7485252556245442,-0.17864713279395472,1.3512600459050217,-0.3793937127224735,0.5315082133030302
Peakhurst - Lugarno,1.2830263136660716,0.33959808733945157,1.0637824132929177,0.9624214678537918,0.7047672767040336
Riverwood,-1.2383913195099427,-0.6162764297954978,-0.830124537136636,-0.8138141226473701,0.3006170231260479
South Hurstville - Blakehurst,1.753232201074464,1.0996910768684474,-0.07090057000269,1.230922196650479,0.7120718873570717
Hurstville - Central,0.7603932889856633,-0.7890248365066332,-1.174513204562265,-1.0520224615285336,0.34357855658042036
Hurstville - North,-0.6092656722457519,-0.6623426715851339,-0.9262580418892122,-0.7250023431223119,0.322253719325815
Mortdale - Oatley,-0.9090833635200928,0.6275120985246773,1.373101578184807,-0.025523521436583107,0.6018699607003962
Penshurst,-1.3989494274054912,-0.6162764297954978,0.100601602475906,-1.1373919240177368,0.3402970560210045
Kingsgrove (South) - Bardwell Park,-0.3766202506011814,2.73504266040053,0.7844569018838323,-0.3594282739145147,0.7127218176229951
Kogarah,0.11816085740346856,0.04016751570681682,0.6932454325745879,-0.6685483437342905,0.5274589415925207
Kogarah Bay - Carlton - Allawah,-0.16527335347336736,-0.16713057234654569,0.4242254328749786,-0.09643525237519539,0.5061963670055859
Monterey - Brighton-le-Sands - Kyeemagh,0.01658327893893777,-0.20168025368877276,1.067781567090625,-0.5590826619941026,0.5377605941296906
Rockdale - Banksia,1.0815095047767607,0.29353184554981543,-0.17210992380620224,0.04538820950202917,0.565080224005794
Sans Souci - Ramsgate,0.4179785486778094,2.37802928653085,1.3380320756510673,0.04538820950202917,0.7698548440705468
Arncliffe - Bardwell Valley,0.08211720052895764,3.760016540219933,0.33147582748969306,-0.004869619221453319,0.7760679158358513
Bexley - North,-1.0729181674951425,-0.04044840742504638,0.5778852268714965,-0.62655207589686,0.45545268389546545
Bexley - South,-0.6174574124445045,-0.44352802308436234,0.05445752019466941,-0.15495464198472977,0.4326116462721995
Wolli Creek,-1.2383913195099427,-0.8466076387436784,0.6680200009275119,-1.706062698340977,0.34468906233977065
