sa2_code21,poi_count,mean_income,total_businesses,total_people,z_poi,z_income,z_business,z_population,final_score
119011354,64,55796,6,23966,3.353293361984612,-0.6553284528696403,-0.7034077413135358,1.9643854670515746,1.0615850178820994
119011354,64,55796,3,23966,3.353293361984612,-0.6553284528696403,-0.7300860478384105,1.9643854670515746,1.0562493565771245
119011354,64,55796,74,23966,3.353293361984612,-0.6553284528696403,-0.09869946008304113,1.9643854670515746,1.1825266741281983
119011354,64,55796,4,23966,3.353293361984612,-0.6553284528696403,-0.7211932789967855,1.9643854670515746,1.0580279103454493
119011354,64,55796,693,23966,3.353293361984612,-0.6553284528696403,5.405924452882784,1.9643854670515746,2.2834514567213633
119011354,64,55796,74,23966,3.353293361984612,-0.6553284528696403,-0.09869946008304113,1.9643854670515746,1.1825266741281983
119011354,64,55796,126,23966,3.353293361984612,-0.6553284528696403,0.36372451968145475,1.9643854670515746,1.2750114700810975
119011354,64,55796,114,23966,3.353293361984612,-0.6553284528696403,0.2570112935819557,1.9643854670515746,1.2536688248611978
119011354,64,55796,289,23966,3.353293361984612,-0.6553284528696403,1.8132458408663166,1.9643854670515746,1.56491573431807
119011354,64,55796,6,23966,3.353293361984612,-0.6553284528696403,-0.7034077413135358,1.9643854670515746,1.0615850178820994
119011354,64,55796,63,23966,3.353293361984612,-0.6553284528696403,-0.19651991734091526,1.9643854670515746,1.1629625826766234
119011354,64,55796,140,23966,3.353293361984612,-0.6553284528696403,0.48822328346420363,1.9643854670515746,1.2999112228376473
119011354,64,55796,156,23966,3.353293361984612,-0.6553284528696403,0.6305075849302023,1.9643854670515746,1.3283680831308469
119011354,64,55796,93,23966,3.353293361984612,-0.6553284528696403,0.07026314790783235,1.9643854670515746,1.216319195726373
119011354,64,55796,14,23966,3.353293361984612,-0.6553284528696403,-0.6322655905805363,1.9643854670515746,1.0758134480286992
119011354,64,55796,25,23966,3.353293361984612,-0.6553284528696403,-0.5344451333226622,1.9643854670515746,1.095377539480274
119011354,64,55796,146,23966,3.353293361984612,-0.6553284528696403,0.5415798965139531,1.9643854670515746,1.3105825454475972
119011354,64,55796,20,23966,3.353293361984612,-0.6553284528696403,-0.5789089775307869,1.9643854670515746,1.0864847706386491
119011354,64,55796,128,23966,3.353293361984612,-0.6553284528696403,0.38151005736470456,1.9643854670515746,1.2785685776177473
119011355,1,67561,3,1480,-1.3311613454281803,0.586783319478662,-0.7300860478384105,-2.8595931065379787,-0.9412492386601333
119011355,1,67561,0,1480,-1.3311613454281803,0.586783319478662,-0.7567643543632853,-2.8595931065379787,-0.9465848999651083
119011355,1,67561,51,1480,-1.3311613454281803,0.586783319478662,-0.3032331434404143,-2.8595931065379787,-0.8558786577805341
119011355,1,67561,0,1480,-1.3311613454281803,0.586783319478662,-0.7567643543632853,-2.8595931065379787,-0.9465848999651083
119011355,1,67561,124,1480,-1.3311613454281803,0.586783319478662,0.3459389819982049,-2.8595931065379787,-0.7260442326928103
119011355,1,67561,76,1480,-1.3311613454281803,0.586783319478662,-0.0809139223997913,-2.8595931065379787,-0.8114148135724095
119011355,1,67561,71,1480,-1.3311613454281803,0.586783319478662,-0.12537776660791589,-2.8595931065379787,-0.8203075824140345
119011355,1,67561,24,1480,-1.3311613454281803,0.586783319478662,-0.5433379021642871,-2.8595931065379787,-0.9038996095253087
119011355,1,67561,65,1480,-1.3311613454281803,0.586783319478662,-0.17873437965766542,-2.8595931065379787,-0.8309789050239843
119011355,1,67561,3,1480,-1.3311613454281803,0.586783319478662,-0.7300860478384105,-2.8595931065379787,-0.9412492386601333
119011355,1,67561,24,1480,-1.3311613454281803,0.586783319478662,-0.5433379021642871,-2.8595931065379787,-0.9038996095253087
119011355,1,67561,87,1480,-1.3311613454281803,0.586783319478662,0.016906534858082828,-2.8595931065379787,-0.7918507221208346
119011355,1,67561,73,1480,-1.3311613454281803,0.586783319478662,-0.10759222892466606,-2.8595931065379787,-0.8167504748773844
119011355,1,67561,39,1480,-1.3311613454281803,0.586783319478662,-0.40994636953991337,-2.8595931065379787,-0.8772213030004339
119011355,1,67561,6,1480,-1.3311613454281803,0.586783319478662,-0.7034077413135358,-2.8595931065379787,-0.9359135773551583
119011355,1,67561,5,1480,-1.3311613454281803,0.586783319478662,-0.7123005101551606,-2.8595931065379787,-0.9376921311234834
119011355,1,67561,21,1480,-1.3311613454281803,0.586783319478662,-0.5700162086891619,-2.8595931065379787,-0.9092352708302835
119011355,1,67561,4,1480,-1.3311613454281803,0.586783319478662,-0.7211932789967855,-2.8595931065379787,-0.9394706848918083
119011355,1,67561,52,1480,-1.3311613454281803,0.586783319478662,-0.29434037459878937,-2.8595931065379787,-0.8541001040122091
119011356,14,56215,11,12795,-0.3645278343747469,-0.6110917480150768,-0.6589438971054111,-0.4321574772501642,-0.5109061495880621
119011356,14,56215,0,12795,-0.3645278343747469,-0.6110917480150768,-0.7567643543632853,-0.4321574772501642,-0.530470241039637
119011356,14,56215,328,12795,-0.3645278343747469,-0.6110917480150768,2.1600638256896887,-0.4321574772501642,0.05289539497095777
119011356,14,56215,14,12795,-0.3645278343747469,-0.6110917480150768,-0.6322655905805363,-0.4321574772501642,-0.5055704882830873
119011356,14,56215,630,12795,-0.3645278343747469,-0.6110917480150768,4.845680015860415,-0.4321574772501642,0.590018633005103
119011356,14,56215,280,12795,-0.3645278343747469,-0.6110917480150768,1.7332109212916924,-0.4321574772501642,-0.032475185908641485
119011356,14,56215,198,12795,-0.3645278343747469,-0.6110917480150768,1.0040038762784491,-0.4321574772501642,-0.17831659491129012
